video_id,title,channel_title,published_at,views,likes,comments,engagement_score
iZE1NYmyyh0,Massa Massa Lyrical Video | Peddi | Ram Charan | Buchi Babu | Janhvi | AR Rahman | Vishal Mishra,T-Series Telugu,2026-06-01 15:45:49+00:00,1975327,93697,1666,95363
XXxUqLHq1xg,"Cocktail 2 Official Trailer | Shahid Kapoor, Kriti Sanon, Rashmika Mandanna | In Cinemas 19th June",Maddock Films,2026-06-02 08:05:33+00:00,7344820,57737,3751,61488
2CvGbR_RkM8,I STARTED MY OWN CAR BUSINESS | GTA 5 GAMEPLAY #169,Techno Gamerz,2026-06-01 03:30:27+00:00,11140521,583891,45215,629106
3CDOd4GdcUQ,Ucha Lamba Kad Forever | Welcome to the Jungle | Akshay Kumar | Disha Patani | Vikram M | 26th June,Times Music,2026-06-01 05:46:03+00:00,10013392,93029,16314,109343
cc8FDOConV0,"Gatta Kusthi 2 - Teaser | Vishnu Vishal, Aishwarya Lekshmi | Chella Ayyavu | Sean Roldan | Vels",Sony Music South,2026-06-02 11:36:13+00:00,866137,42445,376,42821
cmW7CFyl930,[HINDI] BMPS 2026 | SURVIVAL STAGE | Day 1 #BGMILIVE,KRAFTON INDIA ESPORTS,2026-06-02 15:16:22+00:00,1931476,60265,64,60329
vrY1THC_NQE,IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed,2026-06-01 15:00:06+00:00,5473013,796937,63001,859938
5xhDawcDVkE,Bharat Bhhagya Viddhaata | The Unseen Heroes | Trailer | Kangana Ranaut | In Cinemas 12th June,Pen Movies,2026-06-02 12:12:06+00:00,1624695,14075,1335,15410
hk-jjj2dk4Q,We Found OUR VERSIONS in Minecraft...,Carry Depie,2026-06-01 12:08:42+00:00,1185950,18084,933,19017
TWZD5c51VFQ,Sigma Style - Song Promo | Sigma (Tamil) | Sundeep Kishan | Faria Abdullah | Jason Sanjay | Thaman S,Saregama Tamil,2026-06-01 11:30:03+00:00,317451,11794,240,12034
63nWAOFHuEE,"Aara Hile Chhapra Hile | Official Trailer | Preeti Shukla, Jyoti Mishra | Bhojpuri New Movie 2026",Bhojpuri Cinema TV Channel,2026-06-01 01:30:31+00:00,346613,2566,32,2598
za6mr7Nu0aA,🔴GTA 5 LIVE – DON’T BLINK I USED A SECRET GTA 5 MOD ON LIVE STREAM #gtalive #gtaonline,RSG SIDHARTH YT,2026-06-02 08:40:42+00:00,1058708,3004,1,3005
1xHbT6QjYFg,"Ankhiya Ladal Ba Jab Se - Sainya Ke Sath Madhaiya Me - #Pawan Singh, Monalisha - #Bhojpuri Song",Sky Music World,2026-05-28 00:30:09+00:00,399925,1194,16,1210
RdB_TgwLPqs,"Raakh - Official Trailer | Ali Fazal, Sonali Bendre, Aamir Bashir, Rakesh Bedi | Prime Video India",Prime Video India,2026-06-01 06:30:16+00:00,977796,16605,538,17143
yNWig6Xu68k,How I Dominated The MOST PEACEFUL Minecraft SMP,SenpaiExtras,2026-06-01 07:31:30+00:00,1042694,48796,4721,53517
z2mMRrDi0eU,Tera Fitoor Jab Se Chadh Gaya Re - Lyrics | Arijit Singh | Himesh Reshammiya | Evergreen Love Song,Melody Songs Box,2026-05-30 11:30:28+00:00,262012,954,18,972
Zki0Y_auEcA,Drishyam 3 - Success Trailer | Mohanlal | Jeethu Joseph | Meena | Running Successfully,Aashirvad Cinemas,2026-06-02 13:05:01+00:00,76050,3420,305,3725
DDZmssRzATU,[EN] 2026 PMGO S1 Main Event | Group A | PUBG MOBILE GLOBAL OPEN Season 1,PUBG MOBILE Esports,2026-06-02 17:03:41+00:00,485897,10392,204,10596
